                CONFIDENTIAL     6,,,,,,,,,,,,,,,,,,,,,,,,,,,
190??5ul OD???,,,,,,??/Code?GS-SOP-POLG010D-04,,,,,,,,,,,,,,,,,,,,,
,,,,,,???/Supersedes: GS-Q4-POLG010-04,,,,,??/Page?1/1,,,,,,,,,,,,,,,,
??/Prepared by????,,,??/Approved by????,,,????/Effective date?07242014,,,,,,,,,,,,,,,,,,,,,
SPECTRA MAX 190 ?? OD???,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PlateNo.(??):,,,,??,,nmol Values(nmol),,,,,,,,,,,,,,,,,,
,,,1113P1,,,,??,4,??5.5?????,,,,,,,,,,,,,,,,,,
,,,,,,,Volume,150,,,,,,,,,,,,,,,,,,,
???,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,0.6,,,,,,,,,,,
A,0.1415,0.1114,0.0945,0.0745,0.1108,0.1185,0.1115,0.1088,0.1188,0.1102,0.1094,0.0804,0.107525,,,84.47%,74.74%,72.31%,49.98%,74.34%,79.50%,74.81%,73.00%,79.71%,73.94%,73.40%,53.94%
B,0.1279,0.1164,0.127,0.1181,0.102,0.126,0.1206,0.1175,0.099,0.1143,0.0945,0.1125,0.11465,,,85.81%,78.10%,85.21%,79.24%,68.43%,84.54%,80.91%,78.83%,66.42%,76.69%,63.40%,75.48%
C,0.1014,0.1263,0.1182,0.124,0.1119,0.1201,0.0882,0.1176,0.1054,0.1012,0.0957,0.1035,0.109458333,,,68.03%,84.74%,80.47%,83.19%,75.08%,80.58%,59.18%,78.90%,70.72%,67.90%,64.21%,69.44%
D,0.1205,0.1215,0.0954,0.1174,0.1219,0.1185,0.1126,0.1199,0.1282,0.1198,0.1372,0.1079,0.1184,,,80.85%,81.52%,64.01%,78.77%,81.79%,79.50%,75.55%,80.44%,86.01%,80.38%,92.05%,72.39%
E,0.1078,0.1169,0.1231,0.1402,0.101,0.1082,0.1069,0.1246,0.0998,0.1051,0.1057,0.1041,0.11195,,,72.33%,78.43%,82.59%,94.06%,67.76%,72.59%,71.72%,83.60%,66.96%,70.51%,70.92%,69.84%
