SrcPlate,SrcWell,DesPlate,DesWell,Vol,,DesPlate 1,,,,,,
0509Z3,A1,1,A1,60,,,1,2,3,4,5,6
0509Z3,A1,1,B1,8.008,,A,610098_1,610098_15-30,610225_8,610225_15,610225_27-40,610225_52
0509Z3,A2,1,B1,6.422,,B,610098_1-16,610098_30,610225_7,610225_15-28,610225_40,610248_1
0509Z3,A3,1,B1,13.066,,C,610098_16,610225_1,610225_7-16,610225_28,610225_39,610248_1-12
0509Z3,A4,1,B1,11.102,,D,610098_15,610225_1-8,610225_16,610225_27,610225_39-52,610248_12
0509Z3,A5,1,B1,8.362,,,,,,,,
0509Z3,A6,1,B1,8.47,,,,,,,,
0509Z3,A7,1,B1,7.372,,,,,,,,
0509Z3,A8,1,B1,9.464,,DesPlate 2,,,,,,
0509Z3,A9,1,B1,10.08,,,1,2,3,4,5,6
0509Z3,A10,1,B1,10.252,,A,610248_11,610249_1-10,610250_18,610252_15,610253_1-16,610253_30
0509Z3,A11,1,B1,10.526,,B,610248_11-22,610249_10,610252_1,610252_15-30,610253_16,
0509Z3,A12,1,B1,9.334,,C,610248_22,610250_1,610252_1-16,610252_30,610253_15,
0509Z3,B1,1,B1,11.7,,D,610249_1,610250_1-18,610252_16,610253_1,610253_15-30,
0509Z3,B2,1,B1,11.17,,,,,,,,
0509Z3,B3,1,B1,8.808,,,,,,,,
0509Z3,B4,1,B1,7.712,,,,,,,,
0509Z3,B4,1,C1,60,,,,,,,,
0509Z3,B3,1,D1,60,,,,,,,,
0509Z3,B3,1,A2,8.808,,,,,,,,
0509Z3,B4,1,A2,7.712,,,,,,,,
0509Z3,B5,1,A2,9.452,,,,,,,,
0509Z3,B6,1,A2,10.526,,,,,,,,
0509Z3,B7,1,A2,19.894,,,,,,,,
0509Z3,B8,1,A2,12.316,,,,,,,,
0509Z3,B9,1,A2,11.692,,,,,,,,
0509Z3,B10,1,A2,11.186,,,,,,,,
0509Z3,B11,1,A2,10.964,,,,,,,,
0509Z3,B12,1,A2,13.478,,,,,,,,
0509Z3,C1,1,A2,8.976,,,,,,,,
0509Z3,C2,1,A2,8.808,,,,,,,,
0509Z3,C3,1,A2,14.91,,,,,,,,
0509Z3,C4,1,A2,13.49,,,,,,,,
0509Z3,C5,1,A2,7.82,,,,,,,,
0509Z3,C6,1,A2,9.27,,,,,,,,
0509Z3,C6,1,B2,60,,,,,,,,
0509Z3,C7,1,C2,60,,,,,,,,
0509Z3,C7,1,D2,11.556,,,,,,,,
0509Z3,C8,1,D2,16.466,,,,,,,,
0509Z3,C9,1,D2,13.902,,,,,,,,
0509Z3,C10,1,D2,11.848,,,,,,,,
0509Z3,C11,1,D2,10.7,,,,,,,,
0509Z3,C12,1,D2,11.406,,,,,,,,
0509Z3,D1,1,D2,15.822,,,,,,,,
0509Z3,D2,1,D2,11.094,,,,,,,,
0509Z3,D2,1,A3,60,,,,,,,,
0509Z3,D1,1,B3,60,,,,,,,,
0509Z3,D1,1,C3,15.822,,,,,,,,
0509Z3,D2,1,C3,11.094,,,,,,,,
0509Z3,D3,1,C3,10.088,,,,,,,,
0509Z3,D4,1,C3,9.696,,,,,,,,
0509Z3,D5,1,C3,9.174,,,,,,,,
0509Z3,D6,1,C3,10.706,,,,,,,,
0509Z3,D7,1,C3,13.562,,,,,,,,
0509Z3,D8,1,C3,9.18,,,,,,,,
0509Z3,D9,1,C3,13.44,,,,,,,,
0509Z3,D10,1,C3,11.476,,,,,,,,
0509Z3,D10,1,D3,60,,,,,,,,
0509Z3,D9,1,A4,60,,,,,,,,
