                CONFIDENTIAL     6,,,,,,,,,,,,,,,,,,,,,,,,,,,
190??5ul OD???,,,,,,??/Code?GS-SOP-POLG010D-04,,,,,,,,,,,,,,,,,,,,,
,,,,,,???/Supersedes: GS-Q4-POLG010-04,,,,,??/Page?1/1,,,,,,,,,,,,,,,,
??/Prepared by????,,,??/Approved by????,,,????/Effective date?07242014,,,,,,,,,,,,,,,,,,,,,
SPECTRA MAX 190 ?? OD???,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PlateNo.(??):,,,,??,,nmol Values(nmol),,,,,,,,,,,,,,,,,,
,,,0224D4,,,,??,4,??5.5?????,,,,,,,,,,,,,,,,,,
,,,,,,,Volume,150,,,,,,,,,,,,,,,,,,,
???,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,0.6,,,,,,,,,,,
A,0.1385,0.1447,0.1381,0.1222,0.1673,0.1405,0.1307,0.1321,0.137,0.1633,0.1341,0.1368,0.140441667,,,94.29%,98.51%,94.02%,81.99%,107.44%,90.23%,83.93%,84.83%,87.98%,104.87%,86.12%,87.85%
B,0.152,0.1531,0.1479,0.1912,0.1724,0.1698,0.16,0.1612,0.1602,0.1371,0.1299,0.1464,0.156766667,,,97.61%,98.32%,94.98%,122.78%,110.71%,109.04%,102.75%,103.52%,102.88%,88.04%,89.74%,99.67%
C,0.0971,0.1137,0.1378,0.0828,0.1071,0.1031,0.1031,0.104,0.1115,0.0979,0.1359,0.1319,0.110491667,,,76.50%,97.77%,98.01%,78.86%,97.64%,89.96%,80.05%,85.60%,73.72%,72.75%,89.86%,93.82%
D,0.1375,0.1249,0.1365,0.1328,0.1553,0.1293,0.1143,0.1142,0.1204,0.1575,0.1195,0.151,0.132766667,,,90.92%,90.14%,91.58%,87.81%,112.09%,85.49%,82.49%,75.51%,89.47%,104.14%,81.35%,99.84%
E,0.121,0.1272,0.1412,0.1328,0.1219,0.1074,0.1231,0.1127,0.0935,0.1336,0.1121,0.1121,0.119883333,,,80.01%,85.34%,93.36%,90.41%,80.60%,72.06%,82.59%,74.52%,67.48%,97.84%,83.30%,82.10%
